id,brand,model,screen_size,cpu_model,ram_size,hard_drive_size,graphics_card_type,graphics_card_model,operating_system,color,prize
128754,MSI,MSI GF63 Thin,15.6,Intel Core i5,16,256,Dedicated,NVIDIA GeForce RTX2050,Windows 11 Home,black,82500
140955,MSI,MSI Titan GT77,17.3,Intel Core i9,64,2048,Dedicated,NVIDIA GeForce RTX3080Ti,Windows 11 Home,black,359990
148736,MSI,MSI Sword 17,17.3,Intel Core i5,16,512,Dedicated,NVIDIA GeForce RTX 3050,Windows 11 Home,black,95990
148736,DELL,DELL Vostro 3520,15.6,Intel Core i3,8,256,Integrated,Intel UHD Graphics,Linux,black,41990
148736,DELL,DELL Vostro 3520,15.6,Intel Core i5,16,512,Integrated,Intel Iris Xe graphics,Linux,grey,59990
124349,Apple,Apple MacBook Air A2337,13.3,Apple M1,8,256,Integrated,,Mac OS,grey,95690
160087,Apple,Apple MacBook Pro A2485,16.2,Apple M1 Pro,16,512,Integrated,,Mac OS,grey,225000
160197,Apple,Apple MacBook Pro A2780,16.2,Apple M2 Pro,16,512,Integrated,,Mac OS,grey,320000
182200,Lenovo,Lenovo ThinkPad X1 Carbon,14,Intel Core i7,16,512,Integrated,Intel Iris Xe graphics,Linux,black,270000
187635,Lenovo,Lenovo Legion 5,15.6,AMD Ryzen 7,16,512,Dedicated,NVIDIA GeForce RTX 3060,Windows 11 Home,grey,135000
